1.1,综合
1.1.1,行政区划
1.1.2,人均主要工农业产品产量
1.1.3,法人单位数
1.1.3.1,三次产业法人单位数
1.1.3.2,分机构类型法人单位数
1.1.3.3,分行业法人单位数
1.1.4,企业法人单位数
1.1.4.1,按控股情况分企业法人单位数
1.1.4.2,按登记注册类型分企业法人单位数
1.1.5,民族自治地方
1.1.5.1,民族自治地方行政区划
1.1.5.2,民族自治地方人口
1.1.5.3,民族自治地方国内生产总值
1.1.5.4,民族自治地方固定资产投资
1.1.5.5,民族自治地方财政
1.1.5.6,民族自治地方农业
1.1.5.7,民族自治地方工业
1.1.5.8,民族自治地方建筑业
1.1.5.9,民族自治地方邮电运输
1.1.5.10,民族自治地方国内贸易
1.1.5.11,民族自治地方对外经济
1.1.5.12,民族自治地方国际旅游
1.1.5.13,民族自治地方金融
1.1.5.14,民族自治地方教育
1.1.5.15,民族自治地方出版数量
1.1.5.16,民族自治地方卫生
1.1.5.17,民族自治地方社会服务
1.2,国民经济核算
1.2.1,国内生产总值
1.2.2,国内生产总值指数
1.2.2.1,国内生产总值指数(上年=100)
1.2.2.2,国内生产总值指数(1978年=100)
1.2.3,三次产业构成
1.2.4,分行业增加值
1.2.5,分行业增加值指数
1.2.5.1,分行业增加值指数(上年=100)
1.2.5.2,分行业增加值指数(1978年=100)
1.2.6,分行业增加值构成
1.2.7,三次产业贡献率
1.2.8,三次产业对国内生产总值增长的拉动
1.2.9,支出法国内生产总值
1.2.10,三大需求对国内生产总值增长的贡献率和拉动
1.2.11,居民消费水平
1.2.12,投入产出基本流量表
1.2.12.1,中间使用部分
1.2.12.1.1,中间使用
1.2.12.1.2,农、林、牧、渔业
1.2.12.1.3,采矿业
1.2.12.1.4,食品、饮料制造及烟草制品业
1.2.12.1.5,纺织、服装及皮革产品制造业
1.2.12.1.6,其他制造业
1.2.12.1.7,电力、热力及水的生产和供应业
1.2.12.1.8,炼焦、燃气及石油加工业
1.2.12.1.9,化学工业
1.2.12.1.10,非金属矿物制品业
1.2.12.1.11,金属产品制造业
1.2.12.1.12,机械设备制造业
1.2.12.1.13,建筑业
